"TIME","GEO","DEG_URB","Value","Flag and Footnotes"
"2015","European Union - 27 countries (from 2020)","Total","190,833.7",""
"2015","European Union - 28 countries (2013-2020)","Total","219,109.7",""
"2015","European Union - 15 countries (1995-2004)","Total","178,367.3",""
"2015","Euro area - 19 countries  (from 2015)","Total","148,553.9",""
"2015","Belgium","Total","4,699.3",""
"2015","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","530.2",""
"2015","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","530.2",""
"2015","Vlaams Gewest","Total","2,650.9",""
"2015","Prov. Antwerpen","Total","754.5",""
"2015","Prov. Limburg (BE)","Total","339.9",""
"2015","Prov. Oost-Vlaanderen","Total","621.5",""
"2015","Prov. Vlaams-Brabant","Total","441.3",""
"2015","Prov. West-Vlaanderen","Total","493.8",""
"2015","Région wallonne","Total","1,518.2",""
"2015","Prov. Brabant wallon","Total","157.0",""
"2015","Prov. Hainaut","Total","566.6",""
"2015","Prov. Liège","Total","471.9",""
"2015","Prov. Luxembourg (BE)","Total","114.2",""
"2015","Prov. Namur","Total","208.5",""
"2015","Bulgaria","Total","2,939.8",""
"2015","Severna i yugoiztochna Bulgaria","Total","1,500.3",""
"2015","Severozapaden","Total","322.5",""
"2015","Severen tsentralen","Total","330.8",""
"2015","Severoiztochen","Total","421.5",""
"2015","Yugoiztochen","Total","425.5",""
"2015","Yugozapadna i yuzhna tsentralna Bulgaria","Total","1,439.4",""
"2015","Yugozapaden","Total","867.2",""
"2015","Yuzhen tsentralen","Total","572.2",""
"2015","Czechia","Total","4,648.0",""
"2015","Cesko","Total","4,648.0",""
"2015","Praha","Total","627.2",""
"2015","Strední Cechy","Total","553.0",""
"2015","Jihozápad","Total","545.7",""
"2015","Severozápad","Total","514.7",""
"2015","Severovýchod","Total","644.6",""
"2015","Jihovýchod","Total","688.8",""
"2015","Strední Morava","Total","520.1",""
"2015","Moravskoslezsko","Total","553.9",""
"2015","Denmark","Total","2,373.1",""
"2015","Danmark","Total","2,373.1",""
"2015","Hovedstaden","Total","731.9",""
"2015","Sjælland","Total","312.5",""
"2015","Syddanmark","Total","514.2",""
"2015","Midtjylland","Total","574.7",""
"2015","Nordjylland","Total","239.9",""
"2015","Germany (until 1990 former territory of the FRG)","Total","40,257.8",""
"2015","Baden-Württemberg","Total","5,065.0",""
"2015","Stuttgart","Total","1,873.4",""
"2015","Karlsruhe","Total","1,333.1",""
"2015","Freiburg","Total","1,041.7",""
"2015","Tübingen","Total","816.8",""
"2015","Bayern","Total","6,153.4",""
"2015","Oberbayern","Total","2,225.8",""
"2015","Niederbayern","Total","545.6",""
"2015","Oberpfalz","Total","529.3",""
"2015","Oberfranken","Total","507.9",""
"2015","Mittelfranken","Total","861.5",""
"2015","Unterfranken","Total","618.9",""
"2015","Schwaben","Total","864.4",""
"2015","Berlin","Total","1,983.9",""
"2015","Berlin","Total","1,983.9",""
"2015","Brandenburg","Total","1,237.4",""
"2015","Brandenburg","Total","1,237.4",""
"2015","Bremen","Total","362.7",""
"2015","Bremen","Total","362.7",""
"2015","Hamburg","Total","977.8",""
"2015","Hamburg","Total","977.8",""
"2015","Hessen","Total","2,952.6",""
"2015","Darmstadt","Total","1,881.1",""
"2015","Gießen","Total","494.0",""
"2015","Kassel","Total","577.5",""
"2015","Mecklenburg-Vorpommern","Total","829.8",""
"2015","Mecklenburg-Vorpommern","Total","829.8",""
"2015","Niedersachsen","Total","3,848.8",""
"2015","Braunschweig","Total","808.5",""
"2015","Hannover","Total","1,072.8",""
"2015","Lüneburg","Total","791.3",""
"2015","Weser-Ems","Total","1,176.1",""
"2015","Nordrhein-Westfalen","Total","8,638.9",""
"2015","Düsseldorf","Total","2,566.8",""
"2015","Köln","Total","2,155.3",""
"2015","Münster","Total","1,202.7",""
"2015","Detmold","Total","947.0",""
"2015","Arnsberg","Total","1,767.1",""
"2015","Rheinland-Pfalz","Total","1,900.6",""
"2015","Koblenz","Total","693.4",""
"2015","Trier","Total","253.0",""
"2015","Rheinhessen-Pfalz","Total","954.1",""
"2015","Saarland","Total","488.3",""
"2015","Saarland","Total","488.3",""
"2015","Sachsen","Total","2,145.4",""
"2015","Dresden","Total","849.0",""
"2015","Chemnitz","Total","750.9",""
"2015","Leipzig","Total","545.5",""
"2015","Sachsen-Anhalt","Total","1,160.6",""
"2015","Sachsen-Anhalt","Total","1,160.6",""
"2015","Schleswig-Holstein","Total","1,410.7",""
"2015","Schleswig-Holstein","Total","1,410.7",""
"2015","Thüringen","Total","1,101.8",""
"2015","Thüringen","Total","1,101.8",""
"2015","Estonia","Total","571.6",""
"2015","Eesti","Total","571.6",""
"2015","Eesti","Total","571.6",""
"2015","Ireland","Total","1,730.5",""
"2015","Éire/Ireland","Total","1,730.5",""
"2015","Northern and Western","Total","307.5",""
"2015","Southern","Total","586.4",""
"2015","Eastern and Midland","Total","836.6",""
"2015","Border, Midland and Western (NUTS 2013)","Total",":",""
"2015","Southern and Eastern (NUTS 2013)","Total",":",""
"2015","Greece","Total","4,376.1",""
"2015","Voreia Ellada","Total","1,232.8",""
"2015","Anatoliki Makedonia, Thraki","Total","249.9",""
"2015","Kentriki Makedonia","Total","738.8",""
"2015","Dytiki Makedonia","Total","103.2",""
"2015","Ipeiros","Total","140.9",""
"2015","Kentriki Ellada","Total","1,060.6",""
"2015","Thessalia","Total","278.0",""
"2015","Ionia Nisia","Total","85.7",""
"2015","Dytiki Ellada","Total","259.4",""
"2015","Sterea Ellada","Total","217.7",""
"2015","Peloponnisos","Total","219.7",""
"2015","Attiki","Total","1,615.7",""
"2015","Attiki","Total","1,615.7",""
"2015","Nisia Aigaiou, Kriti","Total","467.1",""
"2015","Voreio Aigaio","Total","84.8",""
"2015","Notio Aigaio","Total","131.1",""
"2015","Kriti","Total","251.2",""
"2015","Spain","Total","18,376.0",""
"2015","Noroeste (ES)","Total","1,780.5",""
"2015","Galicia","Total","1,081.9",""
"2015","Principado de Asturias","Total","458.2",""
"2015","Cantabria","Total","240.4",""
"2015","Noreste (ES)","Total","1,820.0",""
"2015","País Vasco","Total","898.4",""
"2015","Comunidad Foral de Navarra","Total","253.4",""
"2015","La Rioja","Total","129.3",""
"2015","Aragón","Total","538.8",""
"2015","Comunidad de Madrid","Total","2,543.1",""
"2015","Comunidad de Madrid","Total","2,543.1",""
"2015","Centro (ES)","Total","2,247.4",""
"2015","Castilla y León","Total","1,029.0",""
"2015","Castilla-la Mancha","Total","786.2",""
"2015","Extremadura","Total","432.2",""
"2015","Este (ES)","Total","5,395.6",""
"2015","Cataluña","Total","2,949.6",""
"2015","Comunidad Valenciana","Total","2,000.4",""
"2015","Illes Balears","Total","445.6",""
"2015","Sur (ES)","Total","3,773.2",""
"2015","Andalucía","Total","3,185.6",""
"2015","Región de Murcia","Total","535.6",""
"2015","Ciudad Autónoma de Ceuta (ES)","Total","26.3",""
"2015","Ciudad Autónoma de Melilla (ES)","Total","25.6",""
"2015","Canarias (ES)","Total","816.2",""
"2015","Canarias (ES)","Total","816.2",""
"2015","France","Total","29,018.1",""
"2015","Île de France","Total","5,082.9",""
"2015","Île de France","Total","5,082.9",""
"2015","Centre - Val de Loire","Total","1,132.3",""
"2015","Centre - Val de Loire","Total","1,132.3",""
"2015","Bourgogne - Franche-Comté","Total","1,259.7",""
"2015","Bourgogne","Total","728.8",""
"2015","Franche-Comté","Total","530.9",""
"2015","Normandie","Total","1,453.4",""
"2015","Basse-Normandie","Total","657.7",""
"2015","Haute-Normandie","Total","795.8",""
"2015","Nord-Pas-de-Calais - Picardie","Total","2,529.6",""
"2015","Nord-Pas-de-Calais","Total","1,755.9",""
"2015","Picardie","Total","773.7",""
"2015","Alsace - Champagne-Ardenne - Lorraine","Total","2,494.7",""
"2015","Alsace","Total","838.3",""
"2015","Champagne-Ardenne","Total","600.5",""
"2015","Lorraine","Total","1,055.8",""
"2015","Pays-de-la-Loire","Total","1,605.1",""
"2015","Pays-de-la-Loire","Total","1,605.1",""
"2015","Bretagne","Total","1,506.7",""
"2015","Bretagne","Total","1,506.7",""
"2015","Aquitaine - Limousin - Poitou-Charentes","Total","2,748.1",""
"2015","Aquitaine","Total","1,538.4",""
"2015","Limousin","Total","341.5",""
"2015","Poitou-Charentes","Total","868.1",""
"2015","Languedoc-Roussillon - Midi-Pyrénées","Total","2,603.2",""
"2015","Languedoc-Roussillon","Total","1,248.0",""
"2015","Midi-Pyrénées","Total","1,355.2",""
"2015","Auvergne - Rhône-Alpes","Total","3,443.7",""
"2015","Auvergne","Total","609.1",""
"2015","Rhône-Alpes","Total","2,834.6",""
"2015","Provence-Alpes-Côte d'Azur","Total","2,214.3",""
"2015","Provence-Alpes-Côte d'Azur","Total","2,214.3",""
"2015","Corse","Total","150.3","u"
"2015","Corse","Total","150.3","u"
"2015","RUP FR - Régions ultrapériphériques françaises","Total","794.1",""
"2015","Guadeloupe","Total","171.5",""
"2015","Martinique","Total","168.0",""
"2015","Guyane","Total","70.8",""
"2015","La Réunion","Total","327.3",""
"2015","Mayotte","Total","56.7",""
"2015","Croatia","Total","1,486.8",""
"2015","Hrvatska","Total","1,486.8",""
"2015","Jadranska Hrvatska","Total","508.2",""
"2015","Kontinentalna Hrvatska","Total","978.6",""
"2015","Italy","Total","25,788.6",""
"2015","Nord-Ovest","Total","7,253.2",""
"2015","Piemonte","Total","2,010.2",""
"2015","Valle d'Aosta/Vallée d'Aoste","Total","61.2",""
"2015","Liguria","Total","777.4",""
"2015","Lombardia","Total","4,404.4",""
"2015","Nord-Est","Total","5,047.7",""
"2015","Provincia Autonoma di Bolzano/Bozen","Total","214.1",""
"2015","Provincia Autonoma di Trento","Total","231.4",""
"2015","Veneto","Total","2,051.9",""
"2015","Friuli-Venezia Giulia","Total","559.6",""
"2015","Emilia-Romagna","Total","1,990.7",""
"2015","Centro (IT)","Total","5,302.3",""
"2015","Toscana","Total","1,639.7",""
"2015","Umbria","Total","381.5",""
"2015","Marche","Total","643.1",""
"2015","Lazio","Total","2,638.0",""
"2015","Sud","Total","5,445.9",""
"2015","Abruzzo","Total","555.5",""
"2015","Molise","Total","130.8",""
"2015","Campania","Total","2,152.5",""
"2015","Puglia","Total","1,579.4",""
"2015","Basilicata","Total","231.7",""
"2015","Calabria","Total","796.0",""
"2015","Isole","Total","2,739.4",""
"2015","Sicilia","Total","2,026.8",""
"2015","Sardegna","Total","712.6",""
"2015","Cyprus","Total","297.5",""
"2015","Kypros","Total","297.5",""
"2015","Kypros","Total","297.5",""
"2015","Latvia","Total","832.7",""
"2015","Latvija","Total","832.7",""
"2015","Latvija","Total","832.7",""
"2015","Lithuania","Total","1,331.6",""
"2015","Lietuva","Total","1,331.6",""
"2015","Sostines regionas","Total","374.1",""
"2015","Vidurio ir vakaru Lietuvos regionas","Total","957.5",""
"2015","Lietuva (NUTS 2013)","Total",":",""
"2015","Luxembourg","Total","229.1","b"
"2015","Luxembourg","Total","229.1","b"
"2015","Luxembourg","Total","229.1","b"
"2015","Hungary","Total","4,151.9",""
"2015","Közép-Magyarország","Total","1,301.3",""
"2015","Budapest","Total","807.5",""
"2015","Pest","Total","493.8",""
"2015","Közép-Magyarország (NUTS 2013)","Total",":",""
"2015","Dunántúl","Total","1,226.7",""
"2015","Közép-Dunántúl","Total","440.4",""
"2015","Nyugat-Dunántúl","Total","404.1",""
"2015","Dél-Dunántúl","Total","382.2",""
"2015","Alföld és Észak","Total","1,623.9",""
"2015","Észak-Magyarország","Total","472.6",""
"2015","Észak-Alföld","Total","584.9",""
"2015","Dél-Alföld","Total","566.4",""
"2015","Malta","Total","172.7",""
"2015","Malta","Total","172.7",""
"2015","Malta","Total","172.7",""
"2015","Netherlands","Total","7,621.7",""
"2015","Noord-Nederland","Total","794.4",""
"2015","Groningen","Total","292.2",""
"2015","Friesland (NL)","Total","289.7",""
"2015","Drenthe","Total","212.6",""
"2015","Oost-Nederland","Total","1,556.0",""
"2015","Overijssel","Total","493.6",""
"2015","Gelderland","Total","899.2",""
"2015","Flevoland","Total","163.2",""
"2015","West-Nederland","Total","3,658.1",""
"2015","Utrecht","Total","566.9",""
"2015","Noord-Holland","Total","1,293.4",""
"2015","Zuid-Holland","Total","1,637.1",""
"2015","Zeeland","Total","160.8",""
"2015","Zuid-Nederland","Total","1,613.2",""
"2015","Noord-Brabant","Total","1,100.4",""
"2015","Limburg (NL)","Total","512.9",""
"2015","Austria","Total","3,815.9",""
"2015","Ostösterreich","Total","1,714.1",""
"2015","Burgenland (AT)","Total","120.7",""
"2015","Niederösterreich","Total","704.0",""
"2015","Wien","Total","889.4",""
"2015","Südösterreich","Total","778.8",""
"2015","Kärnten","Total","247.9",""
"2015","Steiermark","Total","530.9",""
"2015","Westösterreich","Total","1,323.0",""
"2015","Oberösterreich","Total","615.4",""
"2015","Salzburg","Total","233.7",""
"2015","Tirol","Total","313.5",""
"2015","Vorarlberg","Total","160.4",""
"2015","Poland","Total","14,110.0",""
"2015","Makroregion Poludniowy","Total","2,755.6",""
"2015","Malopolskie","Total","1,038.2",""
"2015","Slaskie","Total","1,717.4",""
"2015","Makroregion Pólnocno-Zachodni","Total","1,960.8",""
"2015","Wielkopolskie","Total","1,038.6",""
"2015","Zachodniopomorskie","Total","553.3",""
"2015","Lubuskie","Total","369.0",""
"2015","Makroregion Poludniowo-Zachodni","Total","1,430.4",""
"2015","Dolnoslaskie","Total","1,075.9",""
"2015","Opolskie","Total","354.5",""
"2015","Makroregion Pólnocny","Total","2,122.6",""
"2015","Kujawsko-Pomorskie","Total","731.7",""
"2015","Warminsko-Mazurskie","Total","546.8",""
"2015","Pomorskie","Total","844.2",""
"2015","Makroregion Centralny","Total","1,555.7",""
"2015","Lódzkie","Total","1,084.3",""
"2015","Swietokrzyskie","Total","471.4",""
"2015","Makroregion Wschodni","Total","1,978.2",""
"2015","Lubelskie","Total","885.6",""
"2015","Podkarpackie","Total","664.1",""
"2015","Podlaskie","Total","428.5",""
"2015","Makroregion Województwo Mazowieckie","Total","2,306.7",""
"2015","Warszawski stoleczny","Total","1,355.6",""
"2015","Mazowiecki regionalny","Total","951.1",""
"2015","Portugal","Total","4,082.7",""
"2015","Continente","Total","3,905.1",""
"2015","Norte","Total","1,351.4",""
"2015","Algarve","Total","183.9",""
"2015","Centro (PT)","Total","904.0",""
"2015","Área Metropolitana de Lisboa","Total","1,159.1",""
"2015","Alentejo","Total","306.8",""
"2015","Região Autónoma dos Açores (PT)","Total","82.9",""
"2015","Região Autónoma dos Açores (PT)","Total","82.9",""
"2015","Região Autónoma da Madeira (PT)","Total","94.6",""
"2015","Região Autónoma da Madeira (PT)","Total","94.6",""
"2015","Romania","Total","7,470.4",""
"2015","Macroregiunea unu","Total","1,820.0",""
"2015","Nord-Vest","Total","947.9",""
"2015","Centru","Total","872.1",""
"2015","Macroregiunea doi","Total","2,175.0",""
"2015","Nord-Est","Total","1,219.5",""
"2015","Sud-Est","Total","955.6",""
"2015","Macroregiunea trei","Total","2,026.2",""
"2015","Sud - Muntenia","Total","1,129.5",""
"2015","Bucuresti - Ilfov","Total","896.7",""
"2015","Macroregiunea patru","Total","1,449.1",""
"2015","Sud-Vest Oltenia","Total","763.4",""
"2015","Vest","Total","685.8",""
"2015","Slovenia","Total","882.7",""
"2015","Slovenija","Total","882.7",""
"2015","Vzhodna Slovenija","Total","461.1",""
"2015","Vzhodna Slovenija (NUTS 2010)","Total",":",""
"2015","Zahodna Slovenija","Total","421.6",""
"2015","Zahodna Slovenija (NUTS 2010)","Total",":",""
"2015","Slovakia","Total","1,846.9",""
"2015","Slovensko","Total","1,846.9",""
"2015","Bratislavský kraj","Total","250.1",""
"2015","Západné Slovensko","Total","636.3",""
"2015","Stredné Slovensko","Total","466.9",""
"2015","Východné Slovensko","Total","493.6",""
"2015","Finland","Total","2,622.5",""
"2015","Manner-Suomi","Total","2,609.5",""
"2015","Länsi-Suomi","Total","654.3",""
"2015","Helsinki-Uusimaa","Total","756.4",""
"2015","Etelä-Suomi","Total","574.8",""
"2015","Pohjois- ja Itä-Suomi","Total","623.9",""
"2015","Åland","Total","13.0",""
"2015","Åland","Total","13.0",""
"2015","Sweden","Total","5,099.8",""
"2015","Östra Sverige","Total","2,046.4",""
"2015","Stockholm","Total","1,194.4",""
"2015","Östra Mellansverige","Total","852.0",""
"2015","Södra Sverige","Total","2,157.9",""
"2015","Småland med öarna","Total","410.8",""
"2015","Sydsverige","Total","750.1",""
"2015","Västsverige","Total","997.0",""
"2015","Norra Sverige","Total","895.6",""
"2015","Norra Mellansverige","Total","432.7",""
"2015","Mellersta Norrland","Total","190.0",""
"2015","Övre Norrland","Total","272.8",""
"2015","United Kingdom","Total","28,276.0",""
"2015","North East (UK)","Total","1,180.6",""
"2015","Tees Valley and Durham","Total","519.0",""
"2015","Northumberland and Tyne and Wear","Total","661.5",""
"2015","North West (UK)","Total","3,100.9",""
"2015","Cumbria","Total","216.6",""
"2015","Greater Manchester","Total","1,172.9",""
"2015","Lancashire","Total","629.8",""
"2015","Cheshire","Total","395.1",""
"2015","Merseyside","Total","686.7",""
"2015","Yorkshire and The Humber","Total","2,339.4",""
"2015","East Yorkshire and Northern Lincolnshire","Total","402.5",""
"2015","North Yorkshire","Total","369.7",""
"2015","South Yorkshire","Total","604.8",""
"2015","West Yorkshire","Total","962.5",""
"2015","East Midlands (UK)","Total","2,009.8",""
"2015","Derbyshire and Nottinghamshire","Total","955.5",""
"2015","Leicestershire, Rutland and Northamptonshire","Total","712.8",""
"2015","Lincolnshire","Total","341.5",""
"2015","West Midlands (UK)","Total","2,405.9",""
"2015","Herefordshire, Worcestershire and Warwickshire","Total","583.0",""
"2015","Shropshire and Staffordshire","Total","690.5",""
"2015","West Midlands","Total","1,132.4",""
"2015","East of England","Total","2,597.1",""
"2015","East Anglia","Total","1,090.3",""
"2015","Bedfordshire and Hertfordshire","Total","755.0",""
"2015","Essex","Total","751.9",""
"2015","London","Total","3,765.0",""
"2015","Inner London (NUTS 2010)","Total",":",""
"2015","Outer London (NUTS 2010)","Total",":",""
"2015","Inner London - West","Total","576.6",""
"2015","Inner London - East","Total","1,025.3",""
"2015","Outer London - East and North East","Total","750.9",""
"2015","Outer London - South","Total","538.6",""
"2015","Outer London - West and North West","Total","873.5",""
"2015","South East (UK)","Total","3,792.3",""
"2015","Berkshire, Buckinghamshire and Oxfordshire","Total","963.6",""
"2015","Surrey, East and West Sussex","Total","1,221.6",""
"2015","Hampshire and Isle of Wight","Total","860.5",""
"2015","Kent","Total","746.6",""
"2015","South West (UK)","Total","2,422.9",""
"2015","Gloucestershire, Wiltshire and Bristol/Bath area","Total","1,078.3",""
"2015","Dorset and Somerset","Total","571.5",""
"2015","Cornwall and Isles of Scilly","Total","234.8",""
"2015","Devon","Total","538.4",""
"2015","Wales","Total","1,384.7",""
"2015","West Wales and The Valleys","Total","883.4",""
"2015","East Wales","Total","501.3",""
"2015","Scotland","Total","2,499.5",""
"2015","Eastern Scotland (NUTS 2013)","Total",":",""
"2015","South Western Scotland (NUTS 2013)","Total",":",""
"2015","North Eastern Scotland","Total","215.1",""
"2015","Highlands and Islands","Total","236.0",""
"2015","Eastern Scotland","Total","883.7",""
"2015","West Central Scotland","Total","717.7",""
"2015","Southern Scotland","Total","447.0",""
"2015","Northern Ireland (UK)","Total","777.8",""
"2015","Northern Ireland (UK)","Total","777.8",""
"2015","Montenegro","Total","181.1",""
"2015","Crna Gora","Total","181.1",""
"2015","Crna Gora","Total","181.1",""
"2015","North Macedonia","Total","561.6",""
"2015","Severna Makedonija","Total","561.6",""
"2015","Severna Makedonija","Total","561.6",""
"2015","Serbia","Total","2,454.0",""
"2015","Srbija - sever","Total","1,299.9",""
"2015","Beogradski region","Total","613.7",""
"2015","Region Vojvodine","Total","686.2",""
"2015","Srbija - jug","Total","1,154.1",""
"2015","Region Sumadije i Zapadne Srbije","Total","647.1",""
"2015","Region Juzne i Istocne Srbije","Total","507.0",""
"2015","Turkey","Total","21,633.8",""
"2015","Istanbul","Total","4,169.0",""
"2015","Istanbul","Total","4,169.0",""
"2015","Bati Marmara","Total","1,153.5",""
"2015","Tekirdag, Edirne, Kirklareli","Total","541.9",""
"2015","Balikesir, Çanakkale","Total","611.7",""
"2015","Ege","Total","3,284.0",""
"2015","Izmir","Total","1,349.4",""
"2015","Aydin, Denizli, Mugla","Total","990.3",""
"2015","Manisa, Afyonkarahisar, Kütahya, Usak","Total","944.3",""
"2015","Dogu Marmara","Total","2,190.7",""
"2015","Bursa, Eskisehir, Bilecik","Total","1,189.8",""
"2015","Kocaeli, Sakarya, Düzce, Bolu, Yalova","Total","1,000.9",""
"2015","Bati Anadolu","Total","2,207.4",""
"2015","Ankara","Total","1,580.3",""
"2015","Konya, Karaman","Total","627.1",""
"2015","Akdeniz","Total","2,798.4",""
"2015","Antalya, Isparta, Burdur","Total","926.4",""
"2015","Adana, Mersin","Total","1,072.7",""
"2015","Hatay, Kahramanmaras, Osmaniye","Total","799.3",""
"2015","Orta Anadolu","Total","1,063.4",""
"2015","Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir","Total","429.2",""
"2015","Kayseri, Sivas, Yozgat","Total","634.2",""
"2015","Bati Karadeniz","Total","1,263.1",""
"2015","Zonguldak, Karabük, Bartin","Total","299.4",""
"2015","Kastamonu, Çankiri, Sinop","Total","220.9",""
"2015","Samsun, Tokat, Çorum, Amasya","Total","742.9",""
"2015","Dogu Karadeniz","Total","743.8",""
"2015","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","Total","743.8",""
"2015","Kuzeydogu Anadolu","Total","464.7",""
"2015","Erzurum, Erzincan, Bayburt","Total","244.8",""
"2015","Agri, Kars, Igdir, Ardahan","Total","219.9",""
"2015","Ortadogu Anadolu","Total","749.4",""
"2015","Malatya, Elazig, Bingöl, Tunceli","Total","426.5",""
"2015","Van, Mus, Bitlis, Hakkari","Total","322.8",""
"2015","Güneydogu Anadolu","Total","1,546.3",""
"2015","Gaziantep, Adiyaman, Kilis","Total","621.0",""
"2015","Sanliurfa, Diyarbakir","Total","594.7",""
"2015","Mardin, Batman, Sirnak, Siirt","Total","330.5",""
"2016","European Union - 27 countries (from 2020)","Total","191,272.5",""
"2016","European Union - 28 countries (2013-2020)","Total","219,944.1",""
"2016","European Union - 15 countries (1995-2004)","Total","179,154.8",""
"2016","Euro area - 19 countries  (from 2015)","Total","149,299.9",""
"2016","Belgium","Total","4,692.6",""
"2016","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","520.4",""
"2016","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","520.4",""
"2016","Vlaams Gewest","Total","2,667.5",""
"2016","Prov. Antwerpen","Total","768.4",""
"2016","Prov. Limburg (BE)","Total","344.1",""
"2016","Prov. Oost-Vlaanderen","Total","610.4",""
"2016","Prov. Vlaams-Brabant","Total","447.8",""
"2016","Prov. West-Vlaanderen","Total","496.7",""
"2016","Région wallonne","Total","1,504.7",""
"2016","Prov. Brabant wallon","Total","156.5",""
"2016","Prov. Hainaut","Total","559.1",""
"2016","Prov. Liège","Total","472.4",""
"2016","Prov. Luxembourg (BE)","Total","114.6",""
"2016","Prov. Namur","Total","202.1",""
"2016","Bulgaria","Total","2,742.8",""
"2016","Severna i yugoiztochna Bulgaria","Total","1,360.7",""
"2016","Severozapaden","Total","306.6",""
"2016","Severen tsentralen","Total","304.0",""
"2016","Severoiztochen","Total","353.8",""
"2016","Yugoiztochen","Total","396.2",""
"2016","Yugozapadna i yuzhna tsentralna Bulgaria","Total","1,382.1",""
"2016","Yugozapaden","Total","849.7",""
"2016","Yuzhen tsentralen","Total","532.4",""
"2016","Czechia","Total","4,692.2",""
"2016","Cesko","Total","4,692.2",""
"2016","Praha","Total","635.6",""
"2016","Strední Cechy","Total","567.5",""
"2016","Jihozápad","Total","542.2",""
"2016","Severozápad","Total","518.6",""
"2016","Severovýchod","Total","643.2",""
"2016","Jihovýchod","Total","697.7",""
"2016","Strední Morava","Total","530.5",""
"2016","Moravskoslezsko","Total","556.9",""
"2016","Denmark","Total","2,387.3","b"
"2016","Danmark","Total","2,387.3","b"
"2016","Hovedstaden","Total","734.2","b"
"2016","Sjælland","Total","320.5","b"
"2016","Syddanmark","Total","515.4","b"
"2016","Midtjylland","Total","566.8","b"
"2016","Nordjylland","Total","250.3","b"
"2016","Germany (until 1990 former territory of the FRG)","Total","40,399.7",""
"2016","Baden-Württemberg","Total","5,112.7",""
"2016","Stuttgart","Total","1,899.2",""
"2016","Karlsruhe","Total","1,313.5",""
"2016","Freiburg","Total","1,071.3",""
"2016","Tübingen","Total","828.7",""
"2016","Bayern","Total","6,197.9",""
"2016","Oberbayern","Total","2,226.4",""
"2016","Niederbayern","Total","556.3",""
"2016","Oberpfalz","Total","535.4",""
"2016","Oberfranken","Total","515.3",""
"2016","Mittelfranken","Total","862.0",""
"2016","Unterfranken","Total","623.7",""
"2016","Schwaben","Total","878.9",""
"2016","Berlin","Total","1,947.2",""
"2016","Berlin","Total","1,947.2",""
"2016","Brandenburg","Total","1,232.0",""
"2016","Brandenburg","Total","1,232.0",""
"2016","Bremen","Total","357.0",""
"2016","Bremen","Total","357.0",""
"2016","Hamburg","Total","961.9",""
"2016","Hamburg","Total","961.9",""
"2016","Hessen","Total","2,981.4",""
"2016","Darmstadt","Total","1,897.9",""
"2016","Gießen","Total","503.9",""
"2016","Kassel","Total","579.6",""
"2016","Mecklenburg-Vorpommern","Total","826.4",""
"2016","Mecklenburg-Vorpommern","Total","826.4",""
"2016","Niedersachsen","Total","3,883.5",""
"2016","Braunschweig","Total","825.2",""
"2016","Hannover","Total","1,083.8",""
"2016","Lüneburg","Total","800.0",""
"2016","Weser-Ems","Total","1,174.6",""
"2016","Nordrhein-Westfalen","Total","8,648.7",""
"2016","Düsseldorf","Total","2,538.8",""
"2016","Köln","Total","2,188.2",""
"2016","Münster","Total","1,210.4",""
"2016","Detmold","Total","969.4",""
"2016","Arnsberg","Total","1,741.7",""
"2016","Rheinland-Pfalz","Total","1,924.5",""
"2016","Koblenz","Total","694.8",""
"2016","Trier","Total","259.5",""
"2016","Rheinhessen-Pfalz","Total","970.2",""
"2016","Saarland","Total","493.2",""
"2016","Saarland","Total","493.2",""
"2016","Sachsen","Total","2,149.5",""
"2016","Dresden","Total","821.9",""
"2016","Chemnitz","Total","771.7",""
"2016","Leipzig","Total","555.9",""
"2016","Sachsen-Anhalt","Total","1,165.5",""
"2016","Sachsen-Anhalt","Total","1,165.5",""
"2016","Schleswig-Holstein","Total","1,412.5",""
"2016","Schleswig-Holstein","Total","1,412.5",""
"2016","Thüringen","Total","1,105.9",""
"2016","Thüringen","Total","1,105.9",""
"2016","Estonia","Total","573.4",""
"2016","Eesti","Total","573.4",""
"2016","Eesti","Total","573.4",""
"2016","Ireland","Total","1,752.7",""
"2016","Éire/Ireland","Total","1,752.7",""
"2016","Northern and Western","Total","315.4",""
"2016","Southern","Total","588.5",""
"2016","Eastern and Midland","Total","848.8",""
"2016","Border, Midland and Western (NUTS 2013)","Total",":",""
"2016","Southern and Eastern (NUTS 2013)","Total",":",""
"2016","Greece","Total","4,410.7",""
"2016","Voreia Ellada","Total","1,249.4",""
"2016","Anatoliki Makedonia, Thraki","Total","246.8",""
"2016","Kentriki Makedonia","Total","752.6",""
"2016","Dytiki Makedonia","Total","104.2",""
"2016","Ipeiros","Total","145.9",""
"2016","Kentriki Ellada","Total","1,074.6",""
"2016","Thessalia","Total","277.4",""
"2016","Ionia Nisia","Total","87.2",""
"2016","Dytiki Ellada","Total","264.3",""
"2016","Sterea Ellada","Total","221.1",""
"2016","Peloponnisos","Total","224.6",""
"2016","Attiki","Total","1,616.4",""
